doc_id,raw_doc_sha256,clean_sha256,game_title,lang,text_path
839a212c192c346dcf86e030257c9f3683d8f50f2a9ddfb4139d9d6b9ac4bf6e,839a212c192c346dcf86e030257c9f3683d8f50f2a9ddfb4139d9d6b9ac4bf6e,bf3f02166ef46466bfe4d2f6a3d3d0fd540f0001fcd4500919d896cc34ae698a,Имаджинариум 3D,ru,data/rules_texts_cleaned_good/839a212c192c346dcf86e030257c9f3683d8f50f2a9ddfb4139d9d6b9ac4bf6e.txt
839d5d0828ab9165bb2b4c57aa075d2ab53367ce5a04b99f0da3b39e5465313a,839d5d0828ab9165bb2b4c57aa075d2ab53367ce5a04b99f0da3b39e5465313a,4fbde768bb201430f74f2534a02a5f18279fa5298c83bbd40152167dd6d93d46,Зверята,ru,data/rules_texts_cleaned_good/839d5d0828ab9165bb2b4c57aa075d2ab53367ce5a04b99f0da3b39e5465313a.txt
83b3988600f817f35179335577ae40711c573ffe7a7672fb54f7bbcd817ffdce,83b3988600f817f35179335577ae40711c573ffe7a7672fb54f7bbcd817ffdce,41552396f7a3a8139af78d09ada535b267a2d2bca2c66c2da2c8b7e22c4188f6,Петля трагедии,ru,data/rules_texts_cleaned_good/83b3988600f817f35179335577ae40711c573ffe7a7672fb54f7bbcd817ffdce.txt
83c28ecf3cf47093aeebacb5fb20713fc133022c33f6fbbea94396ee4f37c125,83c28ecf3cf47093aeebacb5fb20713fc133022c33f6fbbea94396ee4f37c125,446dd5bc0c990d1a3be374032b503b23cf93b8be843e47cb812d37dbcd3aee5e,Cut the rope (издание Magic),ru,data/rules_texts_cleaned_good/83c28ecf3cf47093aeebacb5fb20713fc133022c33f6fbbea94396ee4f37c125.txt
83e32530ddda62f9299069b468868aa595bb534f4a193d3068315dc3cc0fa14a,83e32530ddda62f9299069b468868aa595bb534f4a193d3068315dc3cc0fa14a,7d41890d6c34343f42e9896c46b3f6b0e74c5c780258a9d645d43bf89e019f41,Маленький Мир,ru,data/rules_texts_cleaned_good/83e32530ddda62f9299069b468868aa595bb534f4a193d3068315dc3cc0fa14a.txt
83eb6e0c787f87b81d41da1dc13155397586a32a0e51bad8f8ca8cb547b02d22,83eb6e0c787f87b81d41da1dc13155397586a32a0e51bad8f8ca8cb547b02d22,1dbe92c6029d021ea1c69add40a68dd77b48e55d66d299167ba2fe938ea945fa,Машкины страшилки,ru,data/rules_texts_cleaned_good/83eb6e0c787f87b81d41da1dc13155397586a32a0e51bad8f8ca8cb547b02d22.txt
84136a31d182f08f49b4132354c5119306a957a8cf1f558e855609c6932bd1a4,84136a31d182f08f49b4132354c5119306a957a8cf1f558e855609c6932bd1a4,b31bb9f934ade27f75546cf7996b0f94d5fde22368f006732bcbce9178a759c1,Войны Ктулху: Дуэль,ru,data/rules_texts_cleaned_good/84136a31d182f08f49b4132354c5119306a957a8cf1f558e855609c6932bd1a4.txt
84355bd950d3557923f114bc08ea7e80387e2bbd1b768b12a69fdd80829dae23,84355bd950d3557923f114bc08ea7e80387e2bbd1b768b12a69fdd80829dae23,81030a21713eea368b11f485dc1eeea175e0bb20e4efc0993c3117a059aea02f,Печатное ранчо,ru,data/rules_texts_cleaned_good/84355bd950d3557923f114bc08ea7e80387e2bbd1b768b12a69fdd80829dae23.txt
84465780861e6961a297e0ee6eda8d5355999b141d904f0fb3a467ceff026a1f,84465780861e6961a297e0ee6eda8d5355999b141d904f0fb3a467ceff026a1f,5fea4ee7b116fd0a2250fdba3fb4fdcd27de3914d9ce068540776ffed461de04,День вождей,ru,data/rules_texts_cleaned_good/84465780861e6961a297e0ee6eda8d5355999b141d904f0fb3a467ceff026a1f.txt
845814ecdee8e8e05bd9025fcec1ea2916c39efa19750048680f4d8dd681c9c6,845814ecdee8e8e05bd9025fcec1ea2916c39efa19750048680f4d8dd681c9c6,8381393c2430a103c26f9a26d92f2b5aa548a7d963217928265ea4de8e9f9cd3,Bullet,ru,data/rules_texts_cleaned_good/845814ecdee8e8e05bd9025fcec1ea2916c39efa19750048680f4d8dd681c9c6.txt
84602acb070fd11e9791a50040c17f9a3cf8a64b9c64e7d779438d28cb2a1c76,84602acb070fd11e9791a50040c17f9a3cf8a64b9c64e7d779438d28cb2a1c76,f0cd2312024a97485fb7b9a267928c4647d6797e584037e776996cef35a7b87c,Дайс Таун: Пригоршня Карт,ru,data/rules_texts_cleaned_good/84602acb070fd11e9791a50040c17f9a3cf8a64b9c64e7d779438d28cb2a1c76.txt
8460d8d362b26ac5d0c7972ceb1e512ce4fee5c35a60ce0578e891c860d4590c,8460d8d362b26ac5d0c7972ceb1e512ce4fee5c35a60ce0578e891c860d4590c,d486a8eea0fffa66a74648f9ba1abaf57c249db7154cc56422bfb5850db55107,Лекс и Плу. Улетный сюрприз,ru,data/rules_texts_cleaned_good/8460d8d362b26ac5d0c7972ceb1e512ce4fee5c35a60ce0578e891c860d4590c.txt
846ca1d04fc65575f092d0d577a272ac5307e7e01b431d8b3cdb0ef0d9600bc4,846ca1d04fc65575f092d0d577a272ac5307e7e01b431d8b3cdb0ef0d9600bc4,8b647710b0c1f1ef3aa19c78fcad4c29f8fc948acf13325c2da65565dcd81bef,Мистическая долина. Расширенное издание,ru,data/rules_texts_cleaned_good/846ca1d04fc65575f092d0d577a272ac5307e7e01b431d8b3cdb0ef0d9600bc4.txt
847caaf84c7f3654539cd4627c7f192576fa08d6ee420601f320e44911f1fcad,847caaf84c7f3654539cd4627c7f192576fa08d6ee420601f320e44911f1fcad,dccd0dd41c06b03bdf483f6200f670a4829d68dc32ffc75eb302c0d34f61c185,Щупалка,ru,data/rules_texts_cleaned_good/847caaf84c7f3654539cd4627c7f192576fa08d6ee420601f320e44911f1fcad.txt
