doc_sha256,pdf_filename,pdf_url,text_path,primary_title,lang
3a45abe0e239d9633d16220d954e48fada1a98806cb519c6ea3a1b38ce7ad7e9,otvechaet-aleksandr-gus-rules.pdf,https://www.mosigra.ru/download/rules/otvechaet-aleksandr-gus-rules.pdf,data/rules_texts/3a45abe0e239d9633d16220d954e48fada1a98806cb519c6ea3a1b38ce7ad7e9.txt,Отвечает Александр Гусь,ru
4ccd3935b7ee228a56a2de2e78269d3833cd63ee40d8d2859f40c87b93245b37,dzhon-kompani-rules.pdf,https://www.mosigra.ru/download/rules/dzhon-kompani-rules.pdf,data/rules_texts/4ccd3935b7ee228a56a2de2e78269d3833cd63ee40d8d2859f40c87b93245b37.txt,Джон Компани. Второе издание,ru
05bb2d4fe0a4a4d164ab4744a8eeaa242f73513f2cc231f7ac23a424b3df1ce8,stroipolis.pdf,https://www.mosigra.ru/download/rules/stroipolis.pdf,data/rules_texts/05bb2d4fe0a4a4d164ab4744a8eeaa242f73513f2cc231f7ac23a424b3df1ce8.txt,Стройполис,ru
1c3de342a1aedaf547ec03cf6321e0dff61096194c0ec8d831765188ae5922c3,volshebniye-ogonki-rules.pdf,https://www.mosigra.ru/download/rules/volshebniye-ogonki-rules.pdf,data/rules_texts/1c3de342a1aedaf547ec03cf6321e0dff61096194c0ec8d831765188ae5922c3.txt,Волшебные огоньки,ru
7b19cee9fee7082f88ced54a4464d96e3573174dcb99ee78b1b793df296412ea,Нерушимые уз.pdf,https://www.mosigra.ru/download/Правила/Нерушимые уз.pdf,data/rules_texts/7b19cee9fee7082f88ced54a4464d96e3573174dcb99ee78b1b793df296412ea.txt,Runebound. Нерушимые узы,ru
08e72a64e7e4695608ac6574332fb2312235e544a650412c4a3ea7880e3f7730,Drevniy_Uzhas_Tainstvennye_Ruiny_Rules.pdf,https://www.mosigra.ru/image/data/mosigra.product.other/555/731/Drevniy_Uzhas_Tainstvennye_Ruiny_Rules.pdf,data/rules_texts/08e72a64e7e4695608ac6574332fb2312235e544a650412c4a3ea7880e3f7730.txt,Древний ужас: Таинственные руины,ru
313103aa9fa10214fdd1feacfbd3e13ef435ba89828678faba114063dc2da4f0,chjornaja-kniga-cherdinskij-klad-rules.pdf,https://www.mosigra.ru/download/rules/chjornaja-kniga-cherdinskij-klad-rules.pdf,data/rules_texts/313103aa9fa10214fdd1feacfbd3e13ef435ba89828678faba114063dc2da4f0.txt,Чёрная Книга: Чердынский клад [Предзаказ],ru
64f6dd922eb38ecb861c58b15af74b07679fd6a2e1a7b3b6a4971e4c75188e25,mikonki-rules.pdf,https://www.mosigra.ru/download/rules/mikonki-rules.pdf,data/rules_texts/64f6dd922eb38ecb861c58b15af74b07679fd6a2e1a7b3b6a4971e4c75188e25.txt,Миконки,ru
d3c0b6c5707fe45fc93d498f4b211197d73b810268b362ce73d662b974a913e9,galerist-rules.pdf,https://www.mosigra.ru/download/rules/galerist-rules.pdf,data/rules_texts/d3c0b6c5707fe45fc93d498f4b211197d73b810268b362ce73d662b974a913e9.txt,Галерист,ru
996506ebe9409bb54a082f5518223ebd6f32135640e07b1ed592437f91289603,Smallworld_Underground_rules_RU.pdf,https://www.mosigra.ru/image/data/mosigra.product.other/549/911/Smallworld_Underground_rules_RU.pdf,data/rules_texts/996506ebe9409bb54a082f5518223ebd6f32135640e07b1ed592437f91289603.txt,Small World: Подземный мир,ru
