raw_doc_sha256,clean_sha256,clean_text_path,lang,pdf_filename,pdf_url,text_path,raw_len,clean_len,survival_ratio,paragraphs_total,paragraphs_bad,paragraphs_bad_ratio,quarantine
0592a3688f9b94f43a27f68c9f9095ab779d27a8e2765e4aa086fc0116aa4554,b33dc8ea3fd6dea47381ea250b7990bdcb3172f546cdff6a062afb87b9fc6611,data/rules_texts_cleaned_good/0592a3688f9b94f43a27f68c9f9095ab779d27a8e2765e4aa086fc0116aa4554.txt,ru,terracotovaya-armiya-rules.pdf,https://www.mosigra.ru/download/rules/terracotovaya-armiya-rules.pdf,data/rules_texts/0592a3688f9b94f43a27f68c9f9095ab779d27a8e2765e4aa086fc0116aa4554.txt,45682,43493,0.9521,34,1,0.0294,0
05a099298a037ae9fb361c568e7dd84b4cbe5f8a869286239ced331cead42d4c,2e36787d515267060cad01fa325beaaf8569a5cabd8a36686abbdae0a8291c36,data/rules_texts_cleaned_good/05a099298a037ae9fb361c568e7dd84b4cbe5f8a869286239ced331cead42d4c.txt,ru,AHC36 Rules Insert_RU-5.pdf,https://www.mosigra.ru/download/Правила/AHC36 Rules Insert_RU-5.pdf,data/rules_texts/05a099298a037ae9fb361c568e7dd84b4cbe5f8a869286239ced331cead42d4c.txt,10674,8613,0.8069,28,1,0.0357,0
05a212b682ffbcd45d423313378e4fd6162eeca5965b53a3b3c84950af1ab74d,5b5565484d2aae4b9caedc058b5f4bc66de7f05a41dcfa7388f873d6cb00b04b,data/rules_texts_cleaned_good/05a212b682ffbcd45d423313378e4fd6162eeca5965b53a3b3c84950af1ab74d.txt,ru,zverobukvy_eng_rules.pdf,https://www.mosigra.ru/image/data/mosigra.product.other/541/884/zverobukvy_eng_rules.pdf,data/rules_texts/05a212b682ffbcd45d423313378e4fd6162eeca5965b53a3b3c84950af1ab74d.txt,8534,8250,0.9667,4,0,0.0,0
05a472e82a88d106ce6e26cb701917c5783a9239125f5b19f761b5c8e622f789,eb060319116ad4ff80431965032efff1c85f597e4cb303d097fadd3ad2e65022,data/rules_texts_cleaned_good/05a472e82a88d106ce6e26cb701917c5783a9239125f5b19f761b5c8e622f789.txt,ru,sporim_rules.pdf,https://www.mosigra.ru/image/data/mosigra.product.other/536/980/sporim_rules.pdf,data/rules_texts/05a472e82a88d106ce6e26cb701917c5783a9239125f5b19f761b5c8e622f789.txt,4562,3918,0.8588,3,0,0.0,0
05a57009e0cadb7512ca36153196cebd3040213d7270758a877f02e21f6f9fac,ce83f4b62ed005e17285863351917f373e16212c09b7fed401c66730e57af297,data/rules_texts_cleaned_good/05a57009e0cadb7512ca36153196cebd3040213d7270758a877f02e21f6f9fac.txt,en,lords-of-ragnarok-utgard-realms-of-the-giants-rules.pdf,https://www.mosigra.ru/download/rules/lords-of-ragnarok-utgard-realms-of-the-giants-rules.pdf,data/rules_texts/05a57009e0cadb7512ca36153196cebd3040213d7270758a877f02e21f6f9fac.txt,8241,8032,0.9746,4,0,0.0,0
05af732ec95c5c5ecf51473dabb79b1570372538bd1062cbe314f5e687430930,d2601c7186057ad4fb2e493f81fad54494340322aaf59a3321cac1b21f56e93b,data/rules_texts_cleaned_good/05af732ec95c5c5ecf51473dabb79b1570372538bd1062cbe314f5e687430930.txt,ru,8848_EXIT_Rules_150x150_.pdf,https://www.mosigra.ru/download/Правила/8848_EXIT_Rules_150x150_.pdf,data/rules_texts/05af732ec95c5c5ecf51473dabb79b1570372538bd1062cbe314f5e687430930.txt,12413,10989,0.8853,11,0,0.0,0
05b062f80625ba1ae5971618ae4f0ddce6291a8cf3330aaf4f921e14b1593ee2,d58c28348816563801c40929c05c7d6a514623c54f645c928faad6a3746aa5ff,data/rules_texts_cleaned_good/05b062f80625ba1ae5971618ae4f0ddce6291a8cf3330aaf4f921e14b1593ee2.txt,ru,RU_Village_Rulebook.pdf,https://www.mosigra.ru/download/Правила/RU_Village_Rulebook.pdf,data/rules_texts/05b062f80625ba1ae5971618ae4f0ddce6291a8cf3330aaf4f921e14b1593ee2.txt,50114,48024,0.9583,27,0,0.0,0
05b37e44fe77f438bdb9d4686311ebabb133b4b12c9bf669f98cf7490059be8a,4a11d6634d55492af1429efbc422e62575a62550f071cfa9c01516478147df1b,data/rules_texts_cleaned_good/05b37e44fe77f438bdb9d4686311ebabb133b4b12c9bf669f98cf7490059be8a.txt,ru,Empatika_Pravila.pdf,https://www.mosigra.ru/download/Правила/Empatika_Pravila.pdf,data/rules_texts/05b37e44fe77f438bdb9d4686311ebabb133b4b12c9bf669f98cf7490059be8a.txt,5415,5216,0.9633,74,15,0.2027,0
05bb2d4fe0a4a4d164ab4744a8eeaa242f73513f2cc231f7ac23a424b3df1ce8,3e6f70945d566cb7294f6f628c24a1384d69e75f6afac28ccc7ea3df806fd841,data/rules_texts_cleaned_good/05bb2d4fe0a4a4d164ab4744a8eeaa242f73513f2cc231f7ac23a424b3df1ce8.txt,ru,stroipolis.pdf,https://www.mosigra.ru/download/rules/stroipolis.pdf,data/rules_texts/05bb2d4fe0a4a4d164ab4744a8eeaa242f73513f2cc231f7ac23a424b3df1ce8.txt,6690,5959,0.8907,2,0,0.0,0
05fa9e9b8b7342eeab21b0b544a4e75a61659431cc1f4c891611f70dcfbe15b3,ebb7baee84dfc83856ec4790e148190a9ab70569d1e5f15b170b3c18facfbc84,data/rules_texts_cleaned_good/05fa9e9b8b7342eeab21b0b544a4e75a61659431cc1f4c891611f70dcfbe15b3.txt,ru,faktor_cveta.pdf,https://www.mosigra.ru/image/data/mosigra.product.other/561/783/faktor_cveta.pdf,data/rules_texts/05fa9e9b8b7342eeab21b0b544a4e75a61659431cc1f4c891611f70dcfbe15b3.txt,5624,4771,0.8483,49,7,0.1429,0
