game_url,title,pdf_url,pdf_filename
https://www.mosigra.ru/igra-prestolov-tanec-s-drakonami/,Игра престолов. Танец с драконами,https://www.mosigra.ru/image/data/mosigra.product.other/544/345/Igra_Prestolov_2e_Tancy_s_Drakonami_rules_web.pdf,Igra_Prestolov_2e_Tancy_s_Drakonami_rules_web.pdf
https://www.mosigra.ru/povoroti-sudbi-robinzon/,Повороты судьбы. Робинзон,https://www.mosigra.ru/download/rules/povoroti-sudbi-robinzon-rules.pdf,povoroti-sudbi-robinzon-rules.pdf
https://www.mosigra.ru/redvud/,Редвуд,https://www.mosigra.ru/download/rules/redvud-rules.pdf,redvud-rules.pdf
https://www.mosigra.ru/zmei-i-lestnici/,Змеи и Лестницы. Бродилка,https://www.mosigra.ru/download/Правила/8850_S_L_rules_220x220_small_compressed.pdf,8850_S_L_rules_220x220_small_compressed.pdf
https://www.mosigra.ru/gnomyvred-duel/,Гномы-вредители: Дуэль,https://www.mosigra.ru/image/data/mosigra.product.other/548/346/rules_saboteur-duel.pdf,rules_saboteur-duel.pdf
https://www.mosigra.ru/patchwork-halloween/,Patchwork: Halloween Edition,https://www.mosigra.ru/download/rules/patchwork-halloween-rules.pdf,patchwork-halloween-rules.pdf
https://www.mosigra.ru/djuna-vojna-za-arrakis-kosmicheskaja-gildija/,Дюна: Война за Арракис. Космическая гильдия,https://www.mosigra.ru/download/rules/duna-vojna-za-arrakis-kosmicheskaya-gildiya-rules.pdf,duna-vojna-za-arrakis-kosmicheskaya-gildiya-rules.pdf
https://www.mosigra.ru/misticheskaja-dolina-rasshirennoe-izdanie/,Мистическая долина. Расширенное издание,https://www.mosigra.ru/download/rules/misticheskaja-dolina-rashirennoje-rules.pdf,misticheskaja-dolina-rashirennoje-rules.pdf
https://www.mosigra.ru/vojni-chjornoj-rozi-vozrozhdenie-apokalipsis/,Войны Чёрной Розы: Возрождение. Апокалипсис,https://www.mosigra.ru/download/rules/rules-vchr-apokalipsis.pdf,rules-vchr-apokalipsis.pdf
https://www.mosigra.ru/otvet-za-5-sek-detskaya/,Ответь за 5 секунд. Детская,https://www.mosigra.ru/download/rules/otvet-za-5-sekund-det-5.pdf,otvet-za-5-sekund-det-5.pdf
https://www.mosigra.ru/kolonizatori-bistraja-kartochnaja-igra/,Колонизаторы. Быстрая карточная игра,https://www.mosigra.ru/download/Правила/catan_card_game_rules.pdf,catan_card_game_rules.pdf
https://www.mosigra.ru/osobnjaki-bezumija-vtoraja-redakcija-svjatilishhe-sumerek/,Особняки безумия. Вторая редакция: Святилище сумерек,https://www.mosigra.ru/download/Правила/sanctum_of_twilight_rules_rus.pdf,sanctum_of_twilight_rules_rus.pdf
